Ativo,Modelo,Ano,Qtd_Observacoes,RMSE_Base,RMSE_Hibrido,MAE_Base,MAE_Hibrido,Pct_Dias_Hibrido_Melhor
EXXO34,AUTOENCODER,2020,3,0.2790121587775609,0.3969490795171339,0.2756262120961246,0.3824469958088604,0.0
EXXO34,AUTOENCODER,2021,257,1.3741411516564623,0.8553262042436948,1.0990046886833376,0.6106744079449836,0.7704280155642024
EXXO34,AUTOENCODER,2022,259,2.2762928605846766,1.2917228953973472,1.7909012697115367,0.9334985251007857,0.749034749034749
EXXO34,AUTOENCODER,2023,257,1.8935234860468568,1.1170808480710608,1.4897612124590378,0.8593569753939033,0.7431906614785992
EXXO34,AUTOENCODER,2024,259,1.9268978372562777,1.076807143775855,1.5638359543522493,0.8541087825756197,0.7413127413127413
EXXO34,AUTOENCODER,2025,257,2.3059945854415242,1.2140728717579148,1.7597759468390262,0.9094111305609002,0.7470817120622568
EXXO34,AUTOENCODER,2026,59,4.1872169146763785,2.0035394014124988,3.4599426104377966,1.5538388329262605,0.847457627118644
EXXO34,LSTM,2020,3,2.5115632285430087,2.632639541272769,2.510063493122702,2.6272772524060763,0.0
EXXO34,LSTM,2021,257,1.306657503764813,0.693240715969859,1.0852220028827515,0.5493416362303807,0.7392996108949417
EXXO34,LSTM,2022,259,2.1853981582870174,1.3084553277296977,1.6696103382357232,0.9544016934896353,0.7181467181467182
EXXO34,LSTM,2023,257,1.9054049242922557,1.1235366535981801,1.489295663764813,0.8733702302824464,0.7237354085603113
EXXO34,LSTM,2024,259,1.9317896183828864,1.0893368841555708,1.5591929292945856,0.8598406842372034,0.749034749034749
EXXO34,LSTM,2025,257,2.158030692225004,1.1951765582474845,1.627036132151149,0.9131453399786681,0.7159533073929961
EXXO34,LSTM,2026,59,4.006948625874095,2.016923230272192,3.2707633210174887,1.5961683891329255,0.8135593220338984
EXXO34,TRANSFORMER,2020,3,2.3788321100948355,2.3034082879634474,2.304951683921176,2.2081315112747446,0.6666666666666666
EXXO34,TRANSFORMER,2021,257,1.8261125589346245,1.0791919944838262,1.505308205191688,0.69872591813024,0.8171206225680934
EXXO34,TRANSFORMER,2022,259,2.3872371251463798,1.5203703537521964,1.9432042011478063,1.1260511979503458,0.7374517374517374
EXXO34,TRANSFORMER,2023,257,2.40379548974106,1.1612191816968953,1.9654485482998179,0.8955149985167422,0.8171206225680934
EXXO34,TRANSFORMER,2024,259,2.3095661710633713,1.10891475966969,1.8827410004481793,0.8808532341240976,0.7644787644787645
EXXO34,TRANSFORMER,2025,257,4.184009764422784,1.3473652851375568,3.5515930727448595,1.0117991307178493,0.914396887159533
EXXO34,TRANSFORMER,2026,59,4.083435046444509,3.101618162193791,3.0460747224527855,1.972758377920034,0.7627118644067796
PETR4,AUTOENCODER,2020,3,1.0082016879507842,0.9813256252749186,1.0076363694439874,0.9811610868194688,0.6666666666666666
PETR4,AUTOENCODER,2021,257,0.5293637375051357,0.3356922971868684,0.41217838694620346,0.2098031984829389,0.7509727626459144
PETR4,AUTOENCODER,2022,259,0.8967982152392574,0.38174534871749777,0.7507521790813602,0.2706060806375017,0.8725868725868726
PETR4,AUTOENCODER,2023,257,0.8569065079612125,0.39165205967560845,0.6801705832226266,0.2941312601037488,0.8015564202334631
PETR4,AUTOENCODER,2024,259,1.04836557341162,0.5008416550884411,0.849387370802834,0.3695510011430419,0.803088803088803
PETR4,AUTOENCODER,2025,257,1.1233182325353654,0.46862718828882044,0.8337605724082476,0.3387394508280044,0.7821011673151751
PETR4,AUTOENCODER,2026,59,2.361710229936769,0.8389384174963034,1.7320321725594539,0.6127560562908536,0.8305084745762712
PETR4,LSTM,2020,3,0.21008682799483056,0.23885198701917248,0.207461194976973,0.2383127634504104,0.0
PETR4,LSTM,2021,257,0.46821599223224886,0.2739270879006426,0.3761241301604884,0.19933721732109708,0.7159533073929961
PETR4,LSTM,2022,259,0.7681403681820734,0.39123245505864446,0.5966862039859184,0.28453677436027963,0.752895752895753
PETR4,LSTM,2023,257,0.7819351993483182,0.3956857405811655,0.6176439319514913,0.2979008557509653,0.8054474708171206
PETR4,LSTM,2024,259,1.012177264539228,0.5088719004707507,0.7895855677537987,0.3743649921590674,0.7876447876447876
PETR4,LSTM,2025,257,1.0266645712813292,0.4668127173116783,0.759723906619067,0.3382317460488113,0.754863813229572
PETR4,LSTM,2026,59,2.438334015981896,0.8921532611697054,1.8574624455009425,0.6537159892526888,0.8305084745762712
PETR4,TRANSFORMER,2020,3,0.10430707880415101,0.07733107528563556,0.10178288663441985,0.07197794471653592,0.6666666666666666
PETR4,TRANSFORMER,2021,257,0.6655040644702195,0.2757645595441112,0.5702560925017798,0.1992030451273844,0.8832684824902723
PETR4,TRANSFORMER,2022,259,0.8733925379723559,0.4438511577424719,0.7158657000765624,0.31566667033058504,0.8223938223938224
PETR4,TRANSFORMER,2023,257,0.8294733119867859,0.386119450285877,0.6555219896326395,0.29233588263613414,0.7782101167315175
PETR4,TRANSFORMER,2024,259,1.2021104004242722,0.5093952050224246,0.9154680648363446,0.3748865591953001,0.7722007722007722
PETR4,TRANSFORMER,2025,257,1.1973617900958482,0.45152697332652686,0.9131419609870685,0.32395613630562997,0.8404669260700389
PETR4,TRANSFORMER,2026,59,2.4761981957478127,1.0111091808932524,1.9875090890449505,0.632012707799508,0.8983050847457628
PRIO3,AUTOENCODER,2020,3,1.7875231684604143,1.6544094998757626,1.7832240700159911,1.6520984961884235,0.6666666666666666
PRIO3,AUTOENCODER,2021,257,1.3419497968494734,0.71163068632973,1.061440054954728,0.5332721159000993,0.7976653696498055
PRIO3,AUTOENCODER,2022,259,1.5919124294409883,0.781635056843528,1.2307557392663404,0.6135062653847926,0.7297297297297297
PRIO3,AUTOENCODER,2023,257,1.8300691558438804,0.9647718969625829,1.470037703823742,0.7399975130298566,0.7470817120622568
PRIO3,AUTOENCODER,2024,259,1.5511654962142623,0.8351884813901431,1.2283502567838385,0.6528478623044803,0.7606177606177607
PRIO3,AUTOENCODER,2025,257,1.4529261003131426,0.7829484955906537,1.1464226630513221,0.6026061038826059,0.7509727626459144
PRIO3,AUTOENCODER,2026,59,2.389646105865509,1.3302953632762895,1.9548294533710207,1.048743461351552,0.7796610169491526
