cluster,frase_exemplo,ativo_cluster,n_eventos,n_motivos_unicos,prompt_version,first_event_date,last_event_date,event_dates,frases_originais,seq_d0,seq_d1,seq_d2,seq_d3,seq_d4,seq_d5
0,Preocupação com intervenção estatal e política na gestão da empresa.,PETR4,7,7,news-cluster-v1,2021-02-22,2025-04-07,"[""2021-02-22"", ""2021-11-23"", ""2022-11-04"", ""2022-12-12"", ""2022-12-21"", ""2023-10-23"", ""2025-04-07""]","[""Temor de interferência política na gestão da empresa"", ""Redução de temores sobre intervenção governamental"", ""Temor de intervenção estatal após declarações de Lula"", ""Temor de intervenção estatal na empresa"", ""Alívio com menor risco de intervenção estatal imediata"", ""Preocupações com possível ingerência política na empresa"", ""temores de intervenção governamental""]",-4.628104467829947,-4.063605615050032,,,,
1,Divulgação de resultados trimestrais acima do esperado,PETR4,19,19,news-cluster-v1,2021-03-11,2025-11-05,"[""2021-03-11"", ""2021-07-28"", ""2021-10-25"", ""2021-11-01"", ""2021-11-09"", ""2022-01-25"", ""2022-08-05"", ""2022-08-08"", ""2023-04-27"", ""2023-05-08"", ""2023-05-17"", ""2023-07-27"", ""2023-11-08"", ""2023-11-09"", ""2024-01-25"", ""2025-04-09"", ""2025-06-12"", ""2025-08-08"", ""2025-11-05""]","[""Divulgação de resultados trimestrais acima do esperado"", ""Resultados trimestrais acima do esperado"", ""Expectativa positiva sobre resultados trimestrais"", ""Expectativa positiva para resultados trimestrais"", ""Resultados trimestrais positivos"", ""Expectativa positiva para resultados financeiros"", ""Divulgação de resultados financeiros positivos"", ""resultados trimestrais acima do esperado"", ""Reação ao balanço trimestral"", ""Lucro líquido superior às estimativas dos analistas"", ""Divulgação de resultados trimestrais abaixo do esperado"", ""Resultados trimestrais abaixo do esperado"", ""Lucro líquido menor que o projetado por analistas"", ""Expectativa positiva com resultados trimestrais"", ""Expectativas positivas para resultados trimestrais"", ""Divulgação de dados operacionais positivos"", ""Resultados trimestrais acima do esperado, com lucro líquido e geração de caixa superiores às estimativas dos analistas"", ""Dividendos anunciados abaixo das expectativas do mercado"", ""Divulgação de resultados trimestrais positivos""]",1.3872613514836516,1.1204239894423254,1.6783368894720594,-0.9893967442806572,-1.2757573309657906,-0.033137258830623816
2,Produção de petróleo da Petrobras atinge recordes operacionais com entrada de novos FPSOs.,PETR4,5,5,news-cluster-v1,2021-07-26,2025-02-14,"[""2021-07-26"", ""2021-08-16"", ""2023-10-04"", ""2025-01-07"", ""2025-02-14""]","[""Crescimento da produção de petróleo para mais de 2,5 milhões de barris por dia, com recordes operacionais."", ""Aumento expressivo da produção de petróleo e gás, com recordes operacionais"", ""Aumento dos estoques de petróleo nos EUA"", ""Aumento significativo da produção de petróleo da Petrobras no 3T25, com recordes operacionais e entrada de novos FPSOs"", ""Aumento expressivo da produção de petróleo no 3T25, com entrada de novos FPSOs e recordes operacionais""]",0.30938410073332817,0.3069794263340115,1.8317115867884477,0.2085393677236669,0.1560924311455074,
3,Otimismo com o cenário macroeconômico global,PETR4,17,17,news-cluster-v1,2020-12-23,2025-02-27,"[""2020-12-23"", ""2021-01-05"", ""2021-01-07"", ""2021-05-07"", ""2021-08-24"", ""2021-09-21"", ""2021-11-12"", ""2022-03-18"", ""2022-09-06"", ""2022-09-22"", ""2023-01-26"", ""2023-03-21"", ""2023-06-01"", ""2023-08-16"", ""2023-12-14"", ""2024-02-01"", ""2025-02-27""]","[""Otimismo global com pacotes de estímulo econômico"", ""Otimismo global com recuperação econômica"", ""Otimismo com recuperação econômica global"", ""Otimismo com a recuperação econômica global"", ""Otimismo do mercado com commodities"", ""Otimismo com commodities no cenário internacional"", ""Cenário externo favorável para commodities"", ""Otimismo do mercado com o setor de commodities"", ""Temores de recessão global"", ""Reação positiva ao cenário macroeconômico global"", ""Cenário externo desfavorável para commodities"", ""Otimismo global com commodities"", ""Otimismo com o cenário macroeconômico brasileiro"", ""Otimismo com o cenário macroeconômico global"", ""Otimismo com o cenário econômico brasileiro"", ""Otimismo com dados econômicos brasileiros"", ""incertezas macroeconômicas globais""]",1.5158444566941018,0.49138668887887355,-0.0010448830760692585,,,
4,"A Petrobras demonstra resiliência financeira ao manter desempenho sólido e distribuir dividendos elevados, beneficiando-se de preços altos do petróleo e maior produção.",PETR4,5,5,news-cluster-v1,2021-06-21,2025-03-14,"[""2021-06-21"", ""2021-06-21"", ""2021-07-26"", ""2021-08-16"", ""2025-03-14""]","[""A política de preços da Petrobras acompanha o mercado internacional, beneficiando-se da valorização do petróleo."", ""O cenário de preços elevados do petróleo favorece empresas do setor de exploração e produção, como a Petrobras, aumentando expectativas de receitas e lucros."", ""Aumento do dividendo anunciado pela Petrobras, apesar da queda no preço do petróleo Brent."", ""Resiliência financeira da Petrobras, conseguindo compensar a queda do Brent com maior produção"", ""PETR4 acompanhou a alta do Ibovespa e o bom desempenho do setor de petróleo, mesmo sem notícias específicas da companhia""]",1.5675694589313331,0.7237760840430241,0.4858332833828137,0.7687415198756975,0.22122704534510962,1.5452618904301898
5,Variações nos preços internacionais do petróleo impactam diretamente o desempenho de PETR4.,PETR4,37,37,news-cluster-v1,2020-11-10,2026-02-11,"[""2020-11-10"", ""2020-11-12"", ""2020-11-13"", ""2020-11-30"", ""2020-12-21"", ""2020-12-23"", ""2021-01-07"", ""2021-01-13"", ""2021-02-09"", ""2021-02-23"", ""2021-04-15"", ""2021-05-04"", ""2021-05-25"", ""2021-06-21"", ""2021-11-26"", ""2021-11-29"", ""2022-01-28"", ""2022-03-07"", ""2022-03-14"", ""2022-05-27"", ""2022-07-18"", ""2022-09-13"", ""2022-10-05"", ""2023-04-28"", ""2023-06-06"", ""2024-02-01"", ""2024-06-12"", ""2024-06-12"", ""2025-04-09"", ""2025-06-17"", ""2025-08-22"", ""2025-09-24"", ""2025-11-11"", ""2026-01-14"", ""2026-01-23"", ""2026-02-11"", ""2026-02-11""]","[""Alta nos preços internacionais do petróleo"", ""Queda do preço internacional do petróleo"", ""Alta do preço do petróleo"", ""queda nos preços internacionais do petróleo"", ""Queda nos preços internacionais do petróleo"", ""Alta dos preços internacionais do petróleo"", ""Alta do preço internacional do petróleo"", ""Queda dos preços internacionais do petróleo"", ""queda do preço do petróleo"", ""alta do petróleo no mercado internacional"", ""Queda nos preços do petróleo"", ""queda do preço internacional do petróleo"", ""queda nos preços do petróleo"", ""A alta do petróleo reflete a retomada econômica global pós-pandemia, com aumento da demanda devido ao fim dos isolamentos e estímulos econômicos."", ""Queda acentuada do preço do petróleo"", ""Recuperação dos preços do petróleo"", ""queda dos preços internacionais do petróleo"", ""Alta volatilidade e incerteza nos preços do petróleo"", ""volatilidade nos preços internacionais do petróleo"", ""Volatilidade nos preços internacionais do petróleo"", ""Queda das cotações internacionais do petróleo"", ""Queda do preço do petróleo"", ""Alta do petróleo no mercado internacional"", ""Alta do petróleo"", ""Alta nos preços do petróleo"", ""Alta dos preços do petróleo"", ""Queda acentuada do preço do petróleo Brent, que atingiu mínimas de quatro anos e ficou abaixo de US$ 60/barril"", ""Revisão para baixo do preço-alvo de PETR4 por analistas, refletindo premissas mais conservadoras para o preço do Brent"", ""Cenário internacional favorável ao setor de petróleo"", ""Estabilidade nos preços internacionais do petróleo"", ""Cenário de preços do petróleo Brent em queda e projeções mais cautelosas para demanda interna"", ""Valorização do petróleo"", ""Oscilação do preço internacional do petróleo"", ""Valorização internacional do petróleo"", ""Alta internacional do preço do petróleo"", ""Movimento de valorização do setor de petróleo"", ""Acompanhamento do desempenho internacional do petróleo""]",0.42495728689368817,0.10284375339169247,1.2615597009559985,-0.8894224068883627,,
6,Influência de declarações presidenciais sobre a política de preços da Petrobras.,PETR4,6,6,news-cluster-v1,2021-10-19,2022-12-12,"[""2021-10-19"", ""2022-11-11"", ""2022-11-14"", ""2022-11-24"", ""2022-11-29"", ""2022-12-12""]","[""Declarações do presidente Jair Bolsonaro sobre combustíveis"", ""Declarações de Lula sobre política de preços e governança"", ""Declarações de Lula sobre responsabilidade fiscal"", ""Sinalizações de Lula sobre política de preços"", ""Declarações de Lula sobre política de preços"", ""Declarações de Lula sobre política de preços da Petrobras""]",0.9128374114745293,2.1899828214252803,,,,
7,Alívio nas tensões políticas e no sentimento de risco impulsiona o ativo.,PETR4,3,3,news-cluster-v1,2021-09-09,2022-10-06,"[""2021-09-09"", ""2021-11-29"", ""2022-10-06""]","[""Alívio nas tensões políticas no Brasil"", ""Alívio no sentimento global de risco após queda anterior"", ""Alívio pós-eleições presidenciais""]",3.0150469455505466,,,,,
8,Incertezas e expectativas quanto à manutenção da governança corporativa na empresa.,PETR4,9,9,news-cluster-v1,2021-03-04,2025-04-10,"[""2021-03-04"", ""2021-03-09"", ""2021-10-29"", ""2022-08-19"", ""2022-08-30"", ""2023-01-05"", ""2023-04-03"", ""2024-06-07"", ""2025-04-10""]","[""Declarações do governo sobre governança"", ""Expectativa de continuidade da governança corporativa"", ""Incertezas sobre a governança e autonomia da empresa"", ""Incertezas sobre governança e previsibilidade dos resultados"", ""Incertezas sobre governança e previsibilidade dos lucros"", ""Sinalizações do governo sobre respeito à governança"", ""Expectativa de manutenção da governança corporativa"", ""Incertezas sobre governança e rentabilidade futura"", ""preocupações com governança corporativa""]",-1.3335192736221102,2.2632691650575043,,,,
9,Expectativas e anúncios sobre o pagamento de dividendos elevados e a política de dividendos da PETR4.,PETR4,31,31,news-cluster-v1,2021-07-26,2025-08-08,"[""2021-07-26"", ""2021-08-05"", ""2021-08-16"", ""2022-04-13"", ""2022-05-04"", ""2022-07-29"", ""2022-08-08"", ""2022-08-12"", ""2022-08-18"", ""2022-08-23"", ""2022-08-29"", ""2022-11-14"", ""2022-11-30"", ""2022-12-14"", ""2023-02-02"", ""2023-03-03"", ""2023-04-19"", ""2023-04-27"", ""2023-04-28"", ""2023-05-05"", ""2023-05-16"", ""2023-05-17"", ""2023-05-23"", ""2023-07-24"", ""2023-10-23"", ""2023-11-17"", ""2024-02-28"", ""2024-08-26"", ""2025-01-07"", ""2025-07-23"", ""2025-08-08""]","[""Resultados financeiros positivos e expectativa de distribuição de dividendos elevados."", ""Anúncio de pagamento de dividendos expressivos"", ""Expectativa de pagamento de dividendos elevados, mesmo com queda do preço do Brent"", ""Expectativas de dividendos elevados"", ""Anúncio de pagamento de dividendos elevados"", ""Anúncio de dividendos elevados"", ""divulgação de dividendos extraordinários"", ""Divulgação de dividendos extraordinários"", ""Anúncio de dividendos extraordinários"", ""Expectativas positivas sobre dividendos"", ""Perspectiva de dividendos elevados"", ""Expectativa de manutenção da política de dividendos"", ""Expectativas positivas sobre a transição de governo e política de dividendos"", ""Incertezas sobre política de preços e dividendos"", ""Temor de intervenção do governo na política de dividendos"", ""Expectativa de dividendos elevados"", ""Incertezas sobre a governança e distribuição de dividendos"", ""Preocupações com política de dividendos"", ""Anúncio de dividendos"", ""Anúncio de pagamento de dividendos"", ""Expectativa positiva sobre dividendos"", ""Redução no pagamento de dividendos"", ""Expectativas sobre dividendos"", ""Perspectiva de manutenção da política de dividendos"", ""Anúncio de revisão da política de dividendos"", ""Manutenção da política de dividendos"", ""Decisão de não pagamento de dividendos extraordinários"", ""Expectativa de dividendos extraordinários"", ""Manutenção de recomendação de compra por analistas, com destaque para dividendos elevados e perspectiva de recuperação"", ""Expectativa de pagamento de dividendos elevados no próximo trimestre, estimados em US$ 2,2 bilhões, o que atraiu investidores"", ""Perspectiva de menor pagamento de dividendos extraordinários devido ao aumento de investimentos e queda do preço do petróleo""]",1.418125926175188,0.21341958237439373,-0.10883956671548357,-0.2720628648761459,-0.5155834489532416,0.1255990342999074
