event_date,ativo,motivos,selected_motivo,avg_similarity,historical_events_used,reference_dates,reference_motivos,applied_scale,source,status
2020-11-10,EXXO34,"[""Notícias positivas sobre vacina da Pfizer contra Covid-19"", ""Alta nos preços internacionais do petróleo""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-12,EXXO34,"[""Queda do preço internacional do petróleo"", ""Realização de lucros e aversão ao risco global devido à Covid-19""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-13,EXXO34,"[""Alta do preço do petróleo"", ""Otimismo global com vacinas contra Covid-19""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-16,EXXO34,"[""Anúncio de eficácia da vacina da Moderna contra Covid-19"", ""Expectativa de cortes de produção pela Opep+""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-19,EXXO34,"[""Anúncio de aquisição de participação no campo de Albacora Leste"", ""Perspectiva de aumento de produção e receitas""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-23,EXXO34,"[""Avanço das vacinas contra Covid-19"", ""Expectativa de extensão dos cortes de produção pela OPEP+""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-24,EXXO34,"[""Avanços no desenvolvimento de vacinas contra Covid-19"", ""Expectativas de recuperação econômica global""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-25,EXXO34,"[""Alta nos preços internacionais do petróleo"", ""Otimismo com o setor de óleo e gás""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-26,EXXO34,"[""Alta nos preços internacionais do petróleo"", ""Otimismo com o setor de óleo e gás""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-27,EXXO34,"[""Alta nos preços internacionais do petróleo"", ""Otimismo generalizado com o setor de óleo e gás""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-11-30,EXXO34,"[""realização de lucros após alta do mês"", ""queda nos preços internacionais do petróleo"", ""realização de lucros após alta do mês"", ""movimento global de ajuste em carteiras no fechamento de mês""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-01,EXXO34,"[""Alta do preço do petróleo"", ""Otimismo global com vacinas contra Covid-19"", ""Alta do preço internacional do petróleo"", ""Otimismo com o setor de óleo e gás""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-02,EXXO34,"[""realização de lucros após alta recente"", ""volatilidade do setor de petróleo""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-03,EXXO34,"[""Alta do preço do petróleo"", ""Otimismo global com vacinas contra Covid-19""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-04,EXXO34,"[""Alta dos preços do petróleo"", ""Otimismo com recuperação econômica global"", ""Alta do preço do petróleo"", ""Otimismo global com vacinas contra Covid-19"", ""Alta do preço internacional do petróleo"", ""Otimismo do mercado com o setor de óleo e gás""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-07,EXXO34,"[""Queda nos preços do petróleo"", ""Realização de lucros após alta recente""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-08,EXXO34,"[""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global"", ""realização de lucros"", ""volatilidade do setor de petróleo""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-09,EXXO34,"[""Alta dos preços do petróleo"", ""Otimismo com recuperação econômica global""]",Otimismo com recuperação econômica global,0.9563994689195585,2,"[""2020-12-08"", ""2020-12-08""]","[""Otimismo com recuperação econômica global"", ""Alta nos preços do petróleo""]",0.3,seq,applied
2020-12-10,EXXO34,"[""Início da vacinação contra Covid-19"", ""Cortes de produção pela Opep+"", ""Alta do preço do petróleo"", ""Otimismo global com vacinas contra Covid-19"", ""Alta do preço internacional do petróleo"", ""Otimismo com o setor de óleo e gás""]",Alta do preço do petróleo,0.8418370641123307,5,"[""2020-12-09"", ""2020-12-08"", ""2020-12-09"", ""2020-12-08"", ""2020-12-09""]","[""Alta dos preços do petróleo"", ""Alta nos preços do petróleo"", ""Alta dos preços do petróleo"", ""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global""]",0.3,seq,applied
2020-12-11,EXXO34,"[""realização de lucros"", ""movimento técnico do mercado""]",,0.0,0,[],[],0.3,seq,no_historical_match
2020-12-14,EXXO34,"[""Queda nos preços do petróleo"", ""Preocupações com a pandemia de COVID-19""]",Queda nos preços do petróleo,0.7723465733835102,2,"[""2020-12-08"", ""2020-12-09""]","[""Alta nos preços do petróleo"", ""Alta dos preços do petróleo""]",0.3,seq,applied
2020-12-16,EXXO34,"[""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global""]",Otimismo com recuperação econômica global,0.9411545154290575,5,"[""2020-12-09"", ""2020-12-08"", ""2020-12-08"", ""2020-12-09"", ""2020-12-14""]","[""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Alta nos preços do petróleo"", ""Alta dos preços do petróleo"", ""Queda nos preços do petróleo""]",0.3,seq,applied
2020-12-17,EXXO34,"[""Alta nos preços internacionais do petróleo"", ""Otimismo com o setor de óleo e gás""]",Alta nos preços internacionais do petróleo,0.8572327309419412,4,"[""2020-12-16"", ""2020-12-08"", ""2020-12-09"", ""2020-12-14""]","[""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Alta dos preços do petróleo"", ""Queda nos preços do petróleo""]",0.3,seq,applied
2020-12-18,EXXO34,"[""Otimismo com vacinas contra Covid-19"", ""Expectativa de pacote de estímulo econômico nos EUA"", ""Oscilação do preço internacional do petróleo"", ""Movimento geral de realização de lucros no mercado brasileiro""]",Expectativa de pacote de estímulo econômico nos EUA,0.722703088545407,5,"[""2020-12-16"", ""2020-12-16"", ""2020-12-09"", ""2020-12-08"", ""2020-12-09""]","[""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Alta dos preços do petróleo""]",0.3,seq,applied
2020-12-21,EXXO34,"[""Nova variante do coronavírus no Reino Unido"", ""Preocupações com restrições de viagens e demanda global"", ""Temor global com nova variante da Covid-19"", ""Queda nos preços internacionais do petróleo""]",Queda nos preços internacionais do petróleo,0.7292727760007928,3,"[""2020-12-16"", ""2020-12-14"", ""2020-12-08""]","[""Alta nos preços do petróleo"", ""Queda nos preços do petróleo"", ""Alta nos preços do petróleo""]",0.3,seq,applied
2020-12-22,EXXO34,"[""Preocupações com nova variante da COVID-19"", ""Possíveis restrições de viagens e impacto na demanda"", ""Alta do preço internacional do petróleo"", ""Otimismo com o setor de óleo e gás""]",Alta do preço internacional do petróleo,0.8071648010065016,5,"[""2020-12-16"", ""2020-12-14"", ""2020-12-08"", ""2020-12-09"", ""2020-12-14""]","[""Alta nos preços do petróleo"", ""Preocupações com a pandemia de COVID-19"", ""Alta nos preços do petróleo"", ""Alta dos preços do petróleo"", ""Queda nos preços do petróleo""]",0.3,seq,applied
2020-12-23,EXXO34,"[""Início da vacinação contra Covid-19"", ""Queda nos estoques de petróleo dos EUA"", ""Alta das ações da Exxon Mobil nos EUA"", ""Otimismo com estímulos econômicos e recuperação do petróleo"", ""Alta dos preços internacionais do petróleo"", ""Otimismo global com pacotes de estímulo econômico"", ""Anúncio de aquisição de participação no campo de Wahoo"", ""Perspectiva de crescimento operacional""]",Início da vacinação contra Covid-19,0.8881213163156838,5,"[""2020-12-10"", ""2020-12-09"", ""2020-12-16"", ""2020-12-08"", ""2020-12-16""]","[""Início da vacinação contra Covid-19"", ""Alta dos preços do petróleo"", ""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global""]",0.3,seq,applied
2020-12-29,EXXO34,"[""Otimismo com o setor de petróleo"", ""Expectativa de recuperação econômica global""]",Expectativa de recuperação econômica global,0.8636067809262604,4,"[""2020-12-16"", ""2020-12-09"", ""2020-12-08"", ""2020-12-23""]","[""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com estímulos econômicos e recuperação do petróleo""]",0.3,seq,applied
2020-12-30,EXXO34,"[""Otimismo com o setor de petróleo"", ""Expectativa de recuperação econômica global""]",Expectativa de recuperação econômica global,0.8636067809262604,4,"[""2020-12-16"", ""2020-12-09"", ""2020-12-08"", ""2020-12-23""]","[""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com estímulos econômicos e recuperação do petróleo""]",0.3,seq,applied
2021-01-04,EXXO34,"[""Aumento de casos de COVID-19"", ""Novas restrições de mobilidade na Europa""]",,0.0,0,[],[],0.3,seq,no_historical_match
2021-01-05,EXXO34,"[""Corte voluntário de produção pela Arábia Saudita"", ""Expectativas de recuperação da demanda global"", ""Alta nos preços do petróleo"", ""Expectativas de recuperação econômica global"", ""Alta nos preços internacionais do petróleo"", ""Otimismo global com recuperação econômica""]",Alta nos preços do petróleo,0.9778033251834557,5,"[""2020-12-16"", ""2020-12-08"", ""2020-12-16"", ""2020-12-09"", ""2020-12-08""]","[""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global"", ""Otimismo com recuperação econômica global""]",0.3,seq,applied
2021-01-06,EXXO34,"[""Corte voluntário de produção pela Arábia Saudita"", ""Expectativa de menor oferta global de petróleo"", ""Alta nos preços do petróleo"", ""Expectativa de recuperação econômica global""]",Corte voluntário de produção pela Arábia Saudita,0.9956924029237548,5,"[""2021-01-05"", ""2021-01-05"", ""2021-01-05"", ""2020-12-16"", ""2020-12-08""]","[""Corte voluntário de produção pela Arábia Saudita"", ""Alta nos preços do petróleo"", ""Expectativas de recuperação econômica global"", ""Alta nos preços do petróleo"", ""Alta nos preços do petróleo""]",0.3,seq,applied
2021-01-07,EXXO34,"[""Alta nos preços do petróleo"", ""Cortes de produção pela Arábia Saudita"", ""Alta do preço internacional do petróleo"", ""Otimismo com recuperação econômica global""]",Alta nos preços do petróleo,0.9999999999989988,5,"[""2021-01-06"", ""2021-01-05"", ""2020-12-16"", ""2020-12-16"", ""2020-12-08""]","[""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global"", ""Alta nos preços do petróleo""]",0.3,seq,applied
2021-01-08,EXXO34,"[""Corte de produção anunciado pela Arábia Saudita"", ""Expectativas de recuperação da demanda com vacinação""]",Corte de produção anunciado pela Arábia Saudita,0.8167706415092593,5,"[""2021-01-07"", ""2021-01-06"", ""2021-01-05"", ""2021-01-05"", ""2021-01-05""]","[""Cortes de produção pela Arábia Saudita"", ""Corte voluntário de produção pela Arábia Saudita"", ""Corte voluntário de produção pela Arábia Saudita"", ""Expectativas de recuperação da demanda global"", ""Expectativas de recuperação econômica global""]",0.3,seq,applied
2021-01-11,EXXO34,"[""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global"", ""Alta do preço do petróleo Brent"", ""Otimismo com o setor de óleo e gás""]",Alta nos preços do petróleo,0.9999999999989988,5,"[""2021-01-07"", ""2021-01-06"", ""2021-01-05"", ""2020-12-16"", ""2020-12-16""]","[""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Alta nos preços do petróleo"", ""Otimismo com recuperação econômica global"", ""Alta nos preços do petróleo""]",0.3,seq,applied
2021-01-12,EXXO34,"[""Otimismo com vacinação contra Covid-19"", ""Cortes de produção pela Arábia Saudita""]",Cortes de produção pela Arábia Saudita,0.9012321558779413,5,"[""2021-01-07"", ""2020-12-18"", ""2021-01-08"", ""2021-01-06"", ""2021-01-05""]","[""Cortes de produção pela Arábia Saudita"", ""Otimismo com vacinas contra Covid-19"", ""Corte de produção anunciado pela Arábia Saudita"", ""Corte voluntário de produção pela Arábia Saudita"", ""Corte voluntário de produção pela Arábia Saudita""]",0.3,seq,applied
