,Pred,Real,Pred_Impact,Impact_Metadata
2020-11-12,,6.490695476531982,,
2020-11-13,,6.703990459442139,,
2020-11-16,,6.899513244628906,,
2020-11-17,,7.018009662628174,,
2020-11-18,,6.976534366607666,,
2020-11-19,,7.056519985198975,,
2020-11-20,,,,
2020-11-23,,7.435712337493896,,
2020-11-24,,7.767505168914795,,
2020-11-25,,7.776392936706543,,
2020-11-26,,7.649005889892578,,
2020-11-27,,7.55420970916748,,
2020-11-30,,7.37646484375,,
2020-12-01,,7.583833694458008,,
2020-12-02,,7.675670623779297,,
2020-12-03,,7.891927719116211,,
2020-12-04,,8.155585289001465,,
2020-12-07,,7.998576641082764,,
2020-12-08,,7.897853374481201,,
2020-12-09,,7.980799674987793,,
2020-12-10,,8.241495132446289,,
2020-12-11,,8.167433738708496,,
2020-12-14,,8.182246208190918,,
2020-12-15,,8.250383377075195,,
2020-12-16,,8.351102828979492,,
2020-12-17,,8.365918159484863,,
2020-12-18,,8.324443817138672,,
2020-12-21,,8.004501342773438,,
2020-12-22,,8.081524848937988,,
2020-12-23,,8.28000545501709,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-28,,8.348143577575684,,
2020-12-29,,8.374802589416504,,
2020-12-30,,8.395541191101074,,
2020-12-31,,,,
2021-01-01,,,,
2021-01-04,,8.564398765563965,,
2021-01-05,,8.89915657043457,,
2021-01-06,,8.91693115234375,,
2021-01-07,,9.183548927307127,,
2021-01-08,,9.219099044799805,,
2021-01-11,,9.142075538635254,,
2021-01-12,,9.073938369750977,,
2021-01-13,,8.635498046875,,
2021-01-14,,8.724371910095215,,
2021-01-15,,8.330368995666504,,
2021-01-18,,8.31555461883545,,
2021-01-19,,8.499226570129395,,
2021-01-20,,8.357030868530273,,
2021-01-21,,8.16150951385498,,
2021-01-22,,8.025237083435059,,
2021-01-25,,,,
2021-01-26,,7.998576641082764,,
2021-01-27,,8.117071151733398,,
2021-01-28,,8.22371768951416,,
2021-01-29,,7.906738758087158,,
2021-02-01,,8.155585289001465,,
2021-02-02,,8.490340232849121,,
2021-02-03,,8.573287963867188,,
2021-02-04,,8.537737846374512,,
2021-02-05,,8.543663024902344,,
2021-02-08,,8.327404022216797,,
2021-02-09,,8.158547401428223,,
2021-02-10,,8.23556900024414,,
2021-02-11,,8.31851863861084,,
2021-02-12,,8.425166130065918,,
2021-02-15,,,,
2021-02-16,,,,
2021-02-17,,8.76584529876709,,
2021-02-18,,8.67104721069336,,
2021-02-19,,8.096336364746094,,
2021-02-22,,6.419596195220947,,
2021-02-23,,7.12761926651001,,
2021-02-24,,7.228341102600098,,
2021-02-25,,6.869888305664063,,
2021-02-26,,6.588456153869629,,
2021-03-01,,6.517357349395752,,
2021-03-02,,6.514394283294678,,
2021-03-03,,6.277400016784668,,
2021-03-04,,6.582531452178955,,
2021-03-05,,6.632892608642578,,
2021-03-08,,6.250738143920898,,
2021-03-09,,6.395896911621094,,
2021-03-10,,6.618079662322998,,
2021-03-11,,6.899513244628906,,
2021-03-12,,6.863961696624756,,
2021-03-15,,7.00615930557251,,
2021-03-16,,6.896549224853516,,
2021-03-17,,7.133545398712158,,
2021-03-18,,6.884700775146484,,
2021-03-19,,7.10984468460083,,
2021-03-22,,6.967647552490234,,
2021-03-23,,6.754351615905762,,
2021-03-24,,6.760276794433594,,
2021-03-25,,6.8728508949279785,,
2021-03-26,,6.949873924255371,,
2021-03-28,,,,
2021-03-29,,7.059484481811523,,
2021-03-30,,7.059484481811523,,
2021-03-31,,7.13947057723999,,
2021-04-01,,7.077258586883545,,
2021-04-04,,,,
2021-04-05,,7.121695041656494,,
2021-04-06,,7.115771293640137,,
2021-04-07,,7.10984468460083,,
2021-04-08,,7.02097225189209,,
2021-04-09,,7.00615930557251,,
2021-04-11,,,,
2021-04-12,,7.077258586883545,,
2021-04-13,,7.100956916809082,,
2021-04-14,,7.213530540466309,,
2021-04-15,,7.070477485656738,,
2021-04-16,,7.027606964111328,,
2021-04-18,,,,
2021-04-19,,7.434872150421143,,
2021-04-20,,7.294013023376465,,
2021-04-21,,,,
2021-04-22,,7.260330200195312,,
2021-04-23,,7.254206657409668,,
2021-04-25,,,,
2021-04-26,,7.281764984130859,,
2021-04-27,,7.0735392570495605,,
2021-04-28,,7.330759048461914,,
2021-04-29,,7.2327704429626465,,
2021-04-30,,7.2327704429626465,,
2021-05-02,,,,
2021-05-03,,7.17458963394165,,
2021-05-04,,7.009234428405762,,
2021-05-05,,7.297077178955078,,
2021-05-06,,7.196025848388672,,
2021-05-07,,7.465492725372314,,
2021-05-09,,,,
2021-05-10,,7.563483238220215,,
2021-05-11,,7.701277732849121,,
2021-05-12,,7.587978363037109,,
2021-05-13,,7.65228271484375,,
2021-05-14,,8.053423881530762,,
2021-05-16,,,,
2021-05-17,,8.163661003112793,,
2021-05-18,,8.068731307983398,,
2021-05-19,,8.007492065429688,,
2021-05-20,,7.940124988555908,,
2021-05-21,,7.946249008178711,,
2021-05-23,,,,
2021-05-24,,8.08098316192627,,
2021-05-25,,7.912564277648926,,
2021-05-26,,7.989118576049805,,
2021-05-27,,7.934000015258789,,
2021-05-28,,8.264711380004883,,
2021-05-30,,,,
2021-05-31,,8.227967262268066,,
2021-06-01,,8.356576919555664,,
2021-06-02,,8.534180641174316,,
2021-06-03,,,,
2021-06-04,,8.727094650268555,,
2021-06-06,,,,
2021-06-07,,8.662789344787598,,
2021-06-08,,8.77608871459961,,
2021-06-09,,8.77608871459961,,
2021-06-10,,8.782214164733887,,
2021-06-11,,8.748528480529785,,
2021-06-13,,,,
2021-06-14,,8.803647994995117,,
2021-06-15,,8.889388084411621,,
2021-06-16,,8.923070907592773,,
2021-06-17,,8.613795280456543,,
2021-06-18,,8.671976089477539,,
2021-06-20,,,,
2021-06-21,,8.864891052246094,,
2021-06-22,,8.9108247756958,,
2021-06-23,,8.972064971923828,,
2021-06-24,,9.07923984527588,,
2021-06-25,,8.9108247756958,,
2021-06-27,,,,
